latitude,longitude,acq_date
31.83789,-84.07017,2026-01-28
31.83609,-84.08121,2026-01-28
32.19824,-81.78556,2026-01-28
32.19676,-81.79581,2026-01-28
32.10458,-82.48322,2026-01-28
32.09013,-82.63889,2026-01-28
32.33167,-81.0333,2026-01-28
32.10514,-82.68047,2026-01-28
32.10358,-82.69074,2026-01-28
32.11385,-82.68232,2026-01-28
32.16886,-82.37664,2026-01-28
32.16733,-82.38687,2026-01-28
32.28329,-81.84126,2026-01-28
32.08498,-83.22195,2026-01-28
32.21469,-82.62464,2026-01-28
32.387,-81.50713,2026-01-28
32.39575,-81.50887,2026-01-28
30.93419,-89.79409,2026-01-28
30.92901,-89.81828,2026-01-28
31.86908,-84.99574,2026-01-28
31.5523,-86.76773,2026-01-28
31.81695,-85.47013,2026-01-28
31.81475,-85.48283,2026-01-28
32.44231,-81.56078,2026-01-28
32.44083,-81.57114,2026-01-28
32.59142,-80.69717,2026-01-28
32.29721,-82.75497,2026-01-28
32.60033,-80.69887,2026-01-28
31.82275,-85.85601,2026-01-28
31.92746,-85.37299,2026-01-28
31.93697,-85.37542,2026-01-28
31.93484,-85.3878,2026-01-28
32.28716,-83.41473,2026-01-28
32.21391,-83.98683,2026-01-28
32.22286,-83.98888,2026-01-28
32.52864,-82.12082,2026-01-28
32.52714,-82.13109,2026-01-28
32.42761,-82.79918,2026-01-28
32.42604,-82.8095,2026-01-28
32.71886,-80.83767,2026-01-28
32.43632,-82.80105,2026-01-28
32.43476,-82.81137,2026-01-28
31.84979,-86.33875,2026-01-28
31.85475,-86.42049,2026-01-28
32.79438,-80.55798,2026-01-28
32.79293,-80.56896,2026-01-28
32.80336,-80.55968,2026-01-28
32.52043,-82.62342,2026-01-28
32.80112,-80.84909,2026-01-28
32.72248,-81.81214,2026-01-28
32.7312,-81.81392,2026-01-28
32.26202,-84.81808,2026-01-28
32.37482,-84.36871,2026-01-28
32.71917,-82.41245,2026-01-28
32.88544,-81.31519,2026-01-28
32.97305,-80.7388,2026-01-28
32.74416,-82.36468,2026-01-28
32.74264,-82.37496,2026-01-28
32.5314,-83.86388,2026-01-28
32.82556,-82.55743,2026-01-28
32.82402,-82.56773,2026-01-28
32.82248,-82.57805,2026-01-28
33.09138,-80.74477,2026-01-28
32.56839,-84.32162,2026-01-28
32.94129,-82.09937,2026-01-28
33.11766,-80.96797,2026-01-28
32.93381,-82.39549,2026-01-28
32.93229,-82.4058,2026-01-28
32.93077,-82.41611,2026-01-28
32.94098,-82.40763,2026-01-28
32.98748,-82.15151,2026-01-28
33.12117,-81.73597,2026-01-28
33.25002,-82.12806,2026-01-28
33.26022,-82.11951,2026-01-28
33.28544,-82.21684,2026-01-28
33.34632,-82.22957,2026-01-28
33.34481,-82.23993,2026-01-28
33.08532,-84.51416,2026-01-28
32.8816,-86.36605,2026-01-28
32.88037,-86.37122,2026-01-28
33.61069,-82.37798,2026-01-28
35.00389,-79.30224,2026-01-28
35.00232,-79.31561,2026-01-28
35.10699,-79.28456,2026-01-28
19.29502,-72.52238,2026-01-28
17.95776,-100.74332,2026-01-28
18.06752,-100.13837,2026-01-28
17.99737,-102.26535,2026-01-28
18.92466,-98.27211,2026-01-28
18.9359,-98.27384,2026-01-28
18.85068,-99.05392,2026-01-28
19.23591,-99.47875,2026-01-28
19.05026,-102.32653,2026-01-28
19.04892,-102.33601,2026-01-28
19.03936,-102.59422,2026-01-28
19.63551,-98.95087,2026-01-28
19.67932,-100.48062,2026-01-28
19.67786,-100.49176,2026-01-28
19.79392,-100.93383,2026-01-28
20.03686,-99.29116,2026-01-28
19.85445,-100.94831,2026-01-28
19.93838,-100.45307,2026-01-28
19.86038,-101.04941,2026-01-28
19.85895,-101.06023,2026-01-28
19.99932,-100.46836,2026-01-28
20.03568,-100.72015,2026-01-28
20.03948,-100.71478,2026-01-28
20.03804,-100.7261,2026-01-28
19.8046,-102.60983,2026-01-28
20.10957,-100.85159,2026-01-28
20.11379,-100.8589,2026-01-28
20.17687,-100.97024,2026-01-28
20.16076,-102.57466,2026-01-28
20.34789,-101.95277,2026-01-28
20.57148,-101.17148,2026-01-28
20.76865,-100.36028,2026-01-28
20.76709,-100.3726,2026-01-28
20.38411,-103.72433,2026-01-28
20.47394,-103.35114,2026-01-28
20.50007,-103.23164,2026-01-28
20.44976,-103.64075,2026-01-28
20.66791,-102.31196,2026-01-28
20.54157,-103.2166,2026-01-28
20.79759,-101.41257,2026-01-28
20.58513,-103.09924,2026-01-28
20.58381,-103.10858,2026-01-28
20.58658,-103.21439,2026-01-28
20.63292,-103.07829,2026-01-28
20.68128,-103.89716,2026-01-28
22.64778,-103.00488,2026-01-28
22.64642,-103.01465,2026-01-28
22.99086,-102.65199,2026-01-28
23.5215,-98.99905,2026-01-28
23.17631,-102.22884,2026-01-28
23.18551,-102.23028,2026-01-28
23.18411,-102.24084,2026-01-28
23.65809,-98.88841,2026-01-28
23.65665,-99.11462,2026-01-28
23.66805,-99.11607,2026-01-28
23.21565,-103.03405,2026-01-28
23.21428,-103.04393,2026-01-28
23.42334,-102.73207,2026-01-28
23.43234,-102.73354,2026-01-28
23.43096,-102.74368,2026-01-28
23.17748,-106.17119,2026-01-28
24.28672,-98.47041,2026-01-28
24.28472,-98.48918,2026-01-28
23.93791,-104.01936,2026-01-28
24.18221,-103.65945,2026-01-28
24.191,-103.66094,2026-01-28
24.18965,-103.67067,2026-01-28
26.4217,-97.70092,2026-01-28
26.41748,-97.70535,2026-01-28
26.43082,-99.76116,2026-01-28
28.34229,-98.11053,2026-01-28
28.8355,-97.66289,2026-01-28
28.0887,-106.95367,2026-01-28
29.32266,-97.67339,2026-01-28
28.64639,-107.06184,2026-01-28
28.68055,-107.03358,2026-01-28
28.67896,-107.04371,2026-01-28
28.68934,-107.03537,2026-01-28
28.68775,-107.04551,2026-01-28
28.71816,-107.08318,2026-01-28
28.74677,-107.01573,2026-01-28
28.73101,-107.1173,2026-01-28
28.72943,-107.12747,2026-01-28
28.72784,-107.13765,2026-01-28
28.72626,-107.14782,2026-01-28
28.76185,-107.04531,2026-01-28
28.76026,-107.05546,2026-01-28
28.79224,-107.08295,2026-01-28
28.79065,-107.0931,2026-01-28
30.19437,-98.84492,2026-01-28
30.1298,-99.64327,2026-01-28
30.13547,-99.65125,2026-01-28
29.46708,-106.1227,2026-01-28
31.18493,-98.22406,2026-01-28
31.18003,-98.23108,2026-01-28
35.92593,-106.59107,2026-01-28
35.92442,-106.602,2026-01-28
36.38897,-106.24773,2026-01-28
40.13419,-121.68935,2026-01-28
39.87947,-122.76113,2026-01-28
40.14186,-121.69491,2026-01-28
39.88193,-122.76375,2026-01-28
43.86238,-115.83556,2026-01-28
43.85912,-115.85192,2026-01-28
40.13729,-121.70251,2026-01-28
17.83896,-93.10828,2026-01-29
17.83734,-93.11901,2026-01-29
17.84679,-93.12064,2026-01-29
17.8916,-93.1789,2026-01-29
17.88995,-93.18971,2026-01-29
17.8883,-93.20051,2026-01-29
17.90107,-93.18053,2026-01-29
17.89943,-93.19132,2026-01-29
17.94489,-93.62734,2026-01-29
17.94313,-93.63879,2026-01-29
19.36918,-92.00447,2026-01-29
19.39174,-92.03749,2026-01-29
19.39036,-92.04705,2026-01-29
19.40063,-92.03896,2026-01-29
19.39926,-92.04852,2026-01-29
19.43797,-92.04124,2026-01-29
19.71578,-90.59418,2026-01-29
30.36113,-92.99435,2026-01-29
33.83319,-94.3761,2026-01-29
35.01922,-91.74975,2026-01-29
36.56408,-94.58293,2026-01-29
36.69589,-118.98106,2026-01-29
36.70462,-118.98318,2026-01-29
36.70319,-118.9941,2026-01-29
39.46899,-120.05105,2026-01-29
39.4675,-120.0622,2026-01-29
39.88991,-122.77091,2026-01-29
40.14478,-121.702,2026-01-29
42.87215,-121.8465,2026-01-29
